,0
0,0.5224035765118241
1,0.5232796909272684
2,0.6218818747676204
3,0.4186535526275765
4,0.5146700334522231
5,0.5003265159767277
6,0.3700502328264696
7,0.5392124633123294
8,0.5065383588008342
9,0.6218328996274038
10,0.3244525267530744
11,0.5602312640483751
12,0.5377864603106917
13,0.48906559187756604
14,0.5574978795793395
15,0.47845297046400176
16,0.5496536457711327
17,0.5613368132757011
18,0.5147030100420389
19,0.5526598902143424
20,0.6309113068142294
21,0.45239659401273097
22,0.5901777633886538
23,0.5691412908818185
24,0.583135403196921
25,0.5947863007535291
26,0.4158215862681198
27,0.5793458426543935
28,0.4860982923312536
29,0.494651000499015
30,0.44853167710612607
31,0.478819155280024
32,0.49811615045704744
33,0.44155770383747306
34,0.5423674710956766
35,0.48227770794053954
36,0.4635626509411319
37,0.5348160146066792
38,0.4134822969869254
39,0.551356533950319
40,0.44144863850661825
41,0.4864191042551713
42,0.5552719564184098
43,0.5735653765499267
44,0.5715311376480666
45,0.5463411617677358
46,0.46173216918468263
47,0.509483660993234
48,0.5122912904524706
49,0.4708161770854967
50,0.5075558692771648
51,0.3895004512783393
52,0.5681335167174582
53,0.5163764078624649
54,0.49825106240559947
55,0.42973087058888343
56,0.363140401317394
57,0.5575929990098616
58,0.48030501671918624
59,0.7350460040622959
60,0.623086032106178
61,0.5442014528930982
62,0.38124445212521435
63,0.5274988666822762
64,0.5638067894370603
65,0.49998039825903917
66,0.5280037672259581
67,0.44370653887567774
68,0.5565600267313717
69,0.5340157407984867
70,0.5429191286504157
71,0.4339330337056429
72,0.4644627225131714
73,0.4944363081657929
74,0.5312905271456849
75,0.4400405079356257
76,0.43120968758096667
77,0.45913016255586125
78,0.6097415645550422
79,0.44919528774358936
80,0.47127454750024206
81,0.5046940630554042
82,0.36380163708860647
83,0.6888851974910923
84,0.5531427531780954
85,0.5251153421621457
86,0.5379685427647062
87,0.5325666490984172
88,0.5399014463581505
89,0.5458033800682911
90,0.5469999594783911
91,0.5107080073289264
92,0.6551176192704232
93,0.47233771814101666
94,0.41372636157370657
95,0.6579475035418092
96,0.4318281912127803
97,0.6341894442408322
98,0.5444846734725697
99,0.45701372421299136
100,0.5796494808057454
101,0.6388850038941463
102,0.4869760111623362
103,0.44877910501851287
104,0.4478252987398819
105,0.6225530075450273
106,0.4860415818564237
107,0.5382178736398325
108,0.48699162017673625
109,0.5599588127883047
110,0.6029060288850021
111,0.5514132848466974
112,0.4924830018970302
113,0.49600501651139806
114,0.522010322388339
115,0.7223487213590508
116,0.7467509936682009
117,0.48280685797418965
118,0.5331985000198033
119,0.5780598784697584
120,0.5140374521050158
121,0.4719473463842245
122,0.4603089875365868
123,0.5761156222882186
124,0.600483357691329
125,0.43507899916118925
126,0.5125094876600068
127,0.4535127852674742
128,0.451201193823482
129,0.45046111853282705
130,0.4169037698430972
131,0.48584740071120835
132,0.4596706705339652
133,0.44751998190803566
134,0.5191036146160053
135,0.5026709653940669
136,0.5081987589879353
137,0.4627062809563809
138,0.4954275959480459
139,0.6124119709221911
140,0.5528622572333373
141,0.5337224811909849
142,0.5833442545675965
143,0.44685473877475884
144,0.5447980107221791
145,0.5350087027758994
146,0.4571610349945024
147,0.549711841544221
148,0.470148607942869
149,0.5827858876990547
150,0.5691149000299234
151,0.5358389007880218
152,0.6354569130032617
153,0.6980784797364217
154,0.4052417347186263
155,0.46590676689228316
156,0.5655527918220611
157,0.5191722741239159
158,0.4238527494046597
159,0.470468457298486
160,0.5704854502783315
161,0.5263161553597183
162,0.5365710729255051
163,0.48831009521039165
164,0.5279642822923452
165,0.4903063203738208
166,0.5270799756575509
167,0.5555471615124677
168,0.5936831668504944
169,0.4403560073786332
170,0.40595482601226646
171,0.48154522154774015
172,0.5246364058854825
173,0.5418054437916745
174,0.5734132143941092
175,0.5731277771017648
176,0.4684137595918794
177,0.4372308096671937
178,0.4357083596365809
179,0.44099495233729813
180,0.5012855709489674
181,0.44292280357818864
182,0.5387554580287827
183,0.45009610351907514
184,0.35956315199335764
185,0.5160227328735928
186,0.48832267483945757
187,0.46660743450118064
188,0.6033624652030245
189,0.4382650074273397
190,0.5167111467332969
191,0.46265364258668273
192,0.5230806202386556
193,0.5690900022065913
194,0.4909699000223021
195,0.5486418330851406
